product_id,description
21666436,"<p><strong>Пластиковый чехол дерево для iPhone 4/4S</strong></p>

<p>Чехол для айфон 4/4с из качественного пластика и изображением с текстурой натурального дерева. Защитные кейсы из пластика очень легкие и простые в эксплуатации. Нанесенное сверху изображение с текстурой дерева практически не царапается и на ней не остается пятен.</p>

<p>В таком чехле ваш iPhone будет под надежной защитой 24 часа в сутки! Будь-то пластиковый чехол на смартфон Айфон 5 или 5с&nbsp;или бамбуковый чехол на планшет Айпед только в нашем интернет-магазине вы получите самые дешевые цены и быструю доставку по всем города Украины и городу Киев.</p>

<p>Не забывайте также про эксклюзивную услугу от нашего интернет-магазина: <a href=""http://i-bag.com.ua/p15117323-pryamaya-pechat-chehlah.html"">печать фотографий на чехлах для айфон</a>!</p>"
21696531,<p>Макаронные изделия &nbsp;&quot;Слеза&quot; изготавливаются из наилучшего отечественного сырья (пшеничной муки высшего сорта) и питьевой воды без красителей и добавок.Расфасовка 1кг и 3 кг</p>
21696637,<p>Нож мульчирователя Y подобный</p>
21701400,"<p><span style=""color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"">Платье в расцветках: черное, беж, ментол, коралл и электрик</span><br style=""border-color: rgb(157, 185, 218); color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"" />
<span style=""color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"">Французский трикотаж</span><br style=""border-color: rgb(157, 185, 218); color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"" />
<span style=""color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"">Артикул № 069</span><br style=""border-color: rgb(157, 185, 218); color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"" />
<span style=""color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"">Размеры 42, 44, 46</span></p>"
21701408,"<p><span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.015625px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); display: inline !important; float: none;"">Платье в расцветках: черное, беж, ментол, коралл и электрик</span><br style=""border-color: rgb(157, 185, 218); color: rgb(34, 34, 34); font-family: Arial; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.015625px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255);"" />
<span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.015625px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); display: inline !important; float: none;"">Французский трикотаж</span><br style=""border-color: rgb(157, 185, 218); color: rgb(34, 34, 34); font-family: Arial; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.015625px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255);"" />
<span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.015625px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); display: inline !important; float: none;"">Артикул № 069</span><br style=""border-color: rgb(157, 185, 218); color: rgb(34, 34, 34); font-family: Arial; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.015625px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255);"" />
<span style=""color: rgb(34, 34, 34); font-family: Arial; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 18.015625px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); display: inline !important; float: none;"">Размеры 42, 44, 46</span></p>"
21701425,"<p><span style=""color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"">Платье в расцветках: черное, беж, ментол, коралл и электрик</span><br style=""border-color: rgb(157, 185, 218); color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"" />
<span style=""color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"">Французский трикотаж</span><br style=""border-color: rgb(157, 185, 218); color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"" />
<span style=""color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"">Артикул № 069</span><br style=""border-color: rgb(157, 185, 218); color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"" />
<span style=""color: rgb(34, 34, 34); font-family: Arial; line-height: 18.015625px;"">Размеры 42, 44, 46</span></p>"
21749824,"<p>42,44,46</p>"
21749827,<p>42.44.46</p>
21749833,"<p>42,44,46</p>"
21766027,<p>&nbsp;Мощная шариковая защелка из нержавеющей стали. Идеально подходят для установки в массивные двери и оконные блоки используемые в агрессивной среде (перепады температур и влажности). В комплект входят шурупы из нержавеющей стали.</p>
21766668,<p>Экструдированный плинтус (багет) 2м</p>
21766686,<p>Экструдированный плинтус (багет) 2м</p>
21766699,<p>Экструдированный плинтус (багет) 2м</p>
21766714,<p>Экструдированный плинтус (багет) 2м</p>
21766744,<p>Экструдированный плинтус (багет) 2м</p>
21766775,<p>Экструдированный плинтус (багет) 2м</p>
21766789,<p>Экструдированный плинтус (багет) 2м</p>
21766798,<p>Экструдированный плинтус (багет) 2м</p>
21766809,<p>Экструдированный плинтус (багет) 2м</p>
21766824,<p>Экструдированный плинтус (багет) 2м</p>
21766840,<p>Экструдированный плинтус (багет) 2м</p>
21793883,"<p>&nbsp;Размеры: S, M</p>
<p>Ткань: плотный дайвинг</p>
<p>Цвета: черный, электрик, бежевый</p>"
21793904,"<p style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, 'Trebuchet MS'; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 20.799999237060547px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px;"">&nbsp;Размеры: S, M</p>

<p style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, 'Trebuchet MS'; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 20.799999237060547px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px;"">Ткань: плотный дайвинг</p>

<p style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, 'Trebuchet MS'; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 20.799999237060547px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px;"">Цвета: черный, электрик, бежевый</p>"
21794192,"<p>&nbsp;Размеры: S, M</p>
<p>Ткань: плотный дайвинг</p>
<p>Цвета: черный, электрик, бежевый</p>"
21794227,"<p>Размеры: S, M, L</p>

<p><span style=""color: rgb(0, 0, 0); font-family: tahoma, arial, verdana, sans-serif, 'Lucida Sans'; font-size: 11px; line-height: 15.069999694824219px;"">ТКАНЬ: ДАЙВИНГ + РУКАВ ШИФОН</span></p>

<p><span style=""color: rgb(0, 0, 0); font-family: tahoma, arial, verdana, sans-serif, 'Lucida Sans'; font-size: 11px; line-height: 15.069999694824219px;"">ЦВЕТ - ЧЕРНЫЙ</span></p>"
21794232,"<p style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, 'Trebuchet MS'; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 20.799999237060547px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px;"">Размеры: S, M, L</p>

<p style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, 'Trebuchet MS'; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 20.799999237060547px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px;""><span style=""color: rgb(0, 0, 0); font-family: tahoma, arial, verdana, sans-serif, 'Lucida Sans'; font-size: 11px; line-height: 15.069999694824219px;"">ТКАНЬ: ДАЙВИНГ + РУКАВ ШИФОН</span></p>

<p style=""color: rgb(51, 51, 51); font-family: sans-serif, Arial, Verdana, 'Trebuchet MS'; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 20.799999237060547px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px;""><span style=""color: rgb(0, 0, 0); font-family: tahoma, arial, verdana, sans-serif, 'Lucida Sans'; font-size: 11px; line-height: 15.069999694824219px;"">ЦВЕТ - ЧЕРНЫЙ</span></p>"
21794234,"<p>Размеры: S, M, L</p>

<p><span style=""color: rgb(0, 0, 0); font-family: tahoma, arial, verdana, sans-serif, 'Lucida Sans'; font-size: 11px; line-height: 15.069999694824219px;"">ТКАНЬ: ДАЙВИНГ + РУКАВ ШИФОН</span></p>

<p><span style=""color: rgb(0, 0, 0); font-family: tahoma, arial, verdana, sans-serif, 'Lucida Sans'; font-size: 11px; line-height: 15.069999694824219px;"">ЦВЕТ - ЧЕРНЫЙ</span><br style=""color: rgb(0, 0, 0); font-family: tahoma, arial, verdana, sans-serif, 'Lucida Sans'; font-size: 11px; line-height: 15.069999694824219px;"" />
&nbsp;</p>"
21794798,"<p>42,44,46</p>"
21794802,"<p>42,44,46</p>"
21794804,"<p>42,44,46</p>"
21795611,"<p>Размеры: S, M, L<br style=""color: rgb(0, 0, 0); font-family: tahoma, arial, verdana, sans-serif, 'Lucida Sans'; font-size: 11px; line-height: 17.600000381469727px;"" />
<span style=""color: rgb(0, 0, 0); font-family: tahoma, arial, verdana, sans-serif, 'Lucida Sans'; font-size: 11px; line-height: 17.600000381469727px;"">Ткань: французский трикотаж</span></p>"
21797384,"<p>Приглашаем на обучение портновскому искусству , уроки рассчитаны для новичков&nbsp; и для людей с опытом !!! Программа и график индивидуальны , Занятия проводим с выездом к ученику или мастеру. Также предлагаем пошив одежды различных фасонов</p>"
21803835,""
21863968,"<p>Модное и стильное платье из новой коллекции Top Bis осень-зима 2013-2014</p>

<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:327px;"" width=""326"" x:str="""">
	<colgroup>
		<col />
	</colgroup>
	<tbody>
		<tr height=""17"">
			<td height=""17"" style=""height:17px;width:327px;"">TOP BIS плаття Greta 3/4 L</td>
		</tr>
		<tr height=""17"">
			<td height=""17"" style=""height:17px;width:327px;"">TOP BIS плаття Greta 3/4 M</td>
		</tr>
		<tr height=""17"">
			<td height=""17"" style=""height:17px;width:327px;"">TOP BIS плаття Greta 3/4 S</td>
		</tr>
		<tr height=""17"">
			<td height=""17"" style=""height:17px;width:327px;"">TOP BIS плаття Greta 3/4 XL</td>
		</tr>
		<tr height=""17"">
			<td height=""17"" style=""height:17px;width:327px;"">TOP BIS плаття Greta 3/4 XXL</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>"
21864490,<p>Платье стильное из новой коллекции Enny осень-зима 2013-2014</p>
21864869,<p>Платье стильное из новой коллекции Enny осень-зима 2013-2014</p>
21864916,<p>Платье стильное из новой коллекции Enny осень-зима 2013-2014</p>
21864959,<p>Платье стильное из новой коллекции Enny осень-зима 2013-2014</p>
21864974,<p>Платье стильное из новой коллекции Enny осень-зима 2013-2014</p>
21877297,"<p>Форма для приготовления вареников и пельмене,</p>

<p>в &nbsp;наборе - &nbsp;3 &nbsp;формочки,<span style=""line-height: 1.6em;"">&nbsp;</span></p>

<p><span style=""line-height: 1.6em;"">диаметр: 10; 8;7,5 см.</span></p>"
21882165,"<p>в хорошем состоянии. кл.точности 0,02. 0,05W. 1976</p>"
21886344,<p>Платье стильное из новой коллекции Enny осень-зима 2013-2014</p>
21886360,<p>Платье стильное из новой коллекции Enny осень-зима 2013-2014</p>
21886395,<p>Платье черное из новой коллекции Enny осень-зима 2013-2014</p>
21886399,<p>Платье черно-белое из новой коллекции Enny осень-зима 2013-2014</p>
21886415,<p>Платье из новой коллекции Enny осень-зима 2013-2014</p>
21903850,"<p>часть дома на ул. Котляревского - тихая уютная гавань за символические деньги 2 сотки земли новый котел, центральная канализация</p>"
21912939,"<p>Задние автостекла на весь модельный ряд&nbsp; Suzuki&nbsp; (цены уточняйте у менеджеров по телефонам указанным на сайте).&nbsp;</p>

<p>Реализация, установка в г.г.Донецк, Макеевка.</p>

<p>Весь спектр услуг СТО, ремонт и заправка автокондиционеров, ремонт сколов и трещин.</p>"
21914267,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:1139px;"" width=""1140"">
	<colgroup>
		<col />
		<col />
		<col />
		<col />
		<col />
		<col />
		<col span=""2"" />
		<col />
	</colgroup>
	<tbody>
		<tr height=""18"">
			<td align=""right"" height=""18"" style=""height:18px;"">код 1170</td>
			<td>Платье Victoria&#39;s Secret Green</td>
			<td>M</td>
			<td align=""right"">670</td>
			<td>Платья</td>
			<td align=""right"">07.08.2013</td>
			<td>&nbsp;</td>
			<td>США</td>
			<td>70% акрил,30% шерсть</td>
		</tr>
	</tbody>
</table>
"
21914922,"<p>42,44,46</p>"
21914926,"<p>42,44,46</p>"
21914927,"<p>42,44,46</p>"
21919444,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width: 854pt;"" width=""1140"">
	<tbody>
		<tr height=""18"" style=""height:13.2pt"">
			<td align=""right"" class=""xl62"" height=""18"" style=""height:13.2pt;
  width:52pt"" width=""70"">код 1915</td>
			<td class=""xl65"" style=""width:370pt"" width=""494"">Платье Victoria&#39;s Secret кремовое в рубчик</td>
			<td class=""xl67"" style=""width:47pt"" width=""63"">M</td>
			<td align=""right"" class=""xl62"" style=""width:48pt"" width=""64"">&nbsp;</td>
			<td class=""xl63"" style=""width:77pt"" width=""102"">&nbsp;</td>
			<td align=""right"" class=""xl64"" style=""width:62pt"" width=""83"">&nbsp;</td>
			<td class=""xl65"" style=""width:48pt"" width=""64"">&nbsp;</td>
			<td class=""xl65"" style=""width:48pt"" width=""64"">США</td>
			<td class=""xl67"" style=""width:102pt"" width=""136"">77% коттон,23%нейлон</td>
		</tr>
	</tbody>
</table>"
21927369,"<p>Кеды в стиле милитари -это прекрасное решение по выбору обуви для детей.Эта обувь отлично подходит под любую одежду в спортивных и комфортных стилях,и просто незаменима к одежде в стиле милитари.Модно,современно,стильно,дешево и практично!!!Очень рекомендуем.Дети будут в восторге!</p>"
21927486,"<p>Кеды в стиле милитари -это прекрасное решение по выбору обуви для детей.Эта обувь отлично подходит под любую одежду в спортивных и комфортных стилях,и просто незаменима к одежде в стиле милитари.Модно,современно,стильно,дешево и практично!!!Очень рекомендуем.Дети будут в восторге!</p>"
21927507,"<p>Кеды в стиле милитари -это прекрасное решение по выбору обуви для детей.Эта обувь отлично подходит под любую одежду в спортивных и комфортных стилях,и просто незаменима к одежде в стиле милитари.Модно,современно,стильно,дешево и практично!!!Очень рекомендуем.Дети будут в восторге!</p>"
21929798,"<p>Кеды в стиле милитари -это прекрасное решение по выбору обуви для детей.Эта обувь отлично подходит под любую одежду в спортивных и комфортных стилях,и просто незаменима к одежде в стиле милитари.Модно,современно,стильно,дешево и практично!!!Очень рекомендуем.Дети будут в восторге!</p>"
21959297,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:1139px;"" width=""1140"">
	<colgroup>
		<col />
		<col />
		<col />
		<col />
		<col />
		<col />
		<col span=""2"" />
		<col />
	</colgroup>
	<tbody>
		<tr height=""18"">
			<td align=""right"" height=""18"" style=""height:18px;width:69px;"">код 1625</td>
			<td style=""width:493px;"">Платье Michael Kors синее с ремнем</td>
			<td style=""width:63px;"">L</td>
			<td align=""right"" style=""width:64px;"">&nbsp;</td>
			<td style=""width:103px;"">&nbsp;</td>
			<td align=""right"" style=""width:83px;"">&nbsp;</td>
			<td style=""width:64px;"">&nbsp;</td>
			<td style=""width:64px;"">США</td>
			<td style=""width:136px;"">94% Polyester/6% Spandex</td>
		</tr>
	</tbody>
</table>"
21959370,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width: 854pt;"" width=""1140"">
	<tbody>
		<tr height=""18"" style=""height:13.2pt"">
			<td align=""right"" class=""xl62"" height=""18"" style=""height:13.2pt;
  width:52pt"" width=""70"">код 1851</td>
			<td class=""xl65"" style=""width:370pt"" width=""494"">Платье Victoria&#39;s Secret c хомутиком корица</td>
			<td class=""xl67"" style=""width:47pt"" width=""63"">XS</td>
			<td align=""right"" class=""xl62"" style=""width:48pt"" width=""64"">&nbsp;</td>
			<td class=""xl63"" style=""width:77pt"" width=""102"">&nbsp;</td>
			<td align=""right"" class=""xl64"" style=""width:62pt"" width=""83"">&nbsp;</td>
			<td class=""xl65"" style=""width:48pt"" width=""64"">&nbsp;</td>
			<td class=""xl65"" style=""width:48pt"" width=""64"">США</td>
			<td class=""xl67"" style=""width:102pt"" width=""136"">70% акрил,30% шерсть</td>
		</tr>
	</tbody>
</table>"
21959436,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width: 854pt;"" width=""1140"">
	<tbody>
		<tr height=""18"" style=""height:13.2pt"">
			<td align=""right"" class=""xl62"" height=""18"" style=""height:13.2pt;
  width:52pt"" width=""70"">код 1338</td>
			<td class=""xl65"" style=""width:370pt"" width=""494"">Платье Victoria&#39;s Secret светлый беж</td>
			<td class=""xl67"" style=""width:47pt"" width=""63"">S</td>
			<td align=""right"" class=""xl62"" style=""width:48pt"" width=""64"">&nbsp;</td>
			<td class=""xl63"" style=""width:77pt"" width=""102"">&nbsp;</td>
			<td align=""right"" class=""xl64"" style=""width:62pt"" width=""83"">&nbsp;</td>
			<td class=""xl65"" style=""width:48pt"" width=""64"">&nbsp;</td>
			<td class=""xl65"" style=""width:48pt"" width=""64"">&nbsp;</td>
			<td class=""xl67"" style=""width:102pt"" width=""136"">70% акрил,30% шерсть</td>
		</tr>
	</tbody>
</table>"
